MSMEG_0377	1.620450661
MSMEG_0378	#DIV/0!
MSMEG_0379	#DIV/0!
MSMEG_0380	0.520760013
MSMEG_0381	0.503109835
MSMEG_0382	0.252756616
MSMEG_0383	3.271003882
MSMEG_0384	0.692571633
MSMEG_0385	0.59859849
MSMEG_0386	0.851775786
MSMEG_0387	1.064770501
MSMEG_0388	2.048023201
MSMEG_0389	0.903944844
MSMEG_0390	0.564263047
MSMEG_0391	1.124695865
MSMEG_0392	1.255977035
MSMEG_0393	0.635918011
MSMEG_0394	2.181294104
MSMEG_0395	#DIV/0!
MSMEG_0396	#DIV/0!
MSMEG_0397	#DIV/0!
MSMEG_0398	#DIV/0!
MSMEG_0399	1.245193654
MSMEG_0400	0.887704849
MSMEG_0401	0.751444019
MSMEG_0402	0.92828976
MSMEG_0403	0.450787653
MSMEG_0404	0.937505398
MSMEG_0405	0.127479658
MSMEG_0406	1.408514614
MSMEG_0407	0.723637519
MSMEG_0408	0.74309513
MSMEG_0409	1.277419359
MSMEG_0410	0.395202495
MSMEG_0411	0.911866582
MSMEG_0412	0.978988367
MSMEG_0413	0.478689629
MSMEG_0414	0.569055978
MSMEG_0415	1.181671018
MSMEG_0416	1.030931634
MSMEG_0417	1.502936932
MSMEG_0418	1.408021923
MSMEG_0419	0.338400674
MSMEG_0420	1.265922445
MSMEG_0421	#DIV/0!
MSMEG_0422	0.569881831
MSMEG_0423	0.25497101
MSMEG_0424	0.897335299
MSMEG_0425	0.315983499
MSMEG_0426	0.383523287
MSMEG_0427	0.143981069
MSMEG_0428	#DIV/0!
MSMEG_0429	#DIV/0!
MSMEG_0430	0.153683159
MSMEG_0431	#DIV/0!
MSMEG_0432	0.372856731
MSMEG_0433	#DIV/0!
MSMEG_0434	0.523747907
MSMEG_0435	0.88787424
MSMEG_0436	1.010348064
MSMEG_0437	0.560876812
MSMEG_0438	0.834305444
MSMEG_0439	#DIV/0!
MSMEG_0440	#DIV/0!
MSMEG_0441	1.121112904
MSMEG_0442	1.298754546
MSMEG_0443	1.358247011
MSMEG_0444	0.444530735
MSMEG_0445	1.097540095
MSMEG_0446	0.484476033
MSMEG_0447	2.840388405
MSMEG_0448	2.585157918
MSMEG_0449	0.245337978
MSMEG_0450	#DIV/0!
MSMEG_0451	0.448884513
MSMEG_0452	0.289448259
MSMEG_0453	2.247678724
MSMEG_0454	0.389031947
MSMEG_0455	1.196255624
MSMEG_0456	1.263549257
MSMEG_0457	0.861068989
MSMEG_0458	0.186775443
MSMEG_0459	#DIV/0!
MSMEG_0460	0.671227991
MSMEG_0461	#DIV/0!
MSMEG_0462	0.806521902
MSMEG_0463	#DIV/0!
MSMEG_0465	0.430459415
MSMEG_0464	1.0083221
MSMEG_0466	1.36042127
MSMEG_0467	#DIV/0!
MSMEG_0469	0.856740701
MSMEG_0468	#DIV/0!
MSMEG_0471	0.693140631
MSMEG_0470	0.202355337
MSMEG_0472	0.779850651
MSMEG_0473	#DIV/0!
MSMEG_0474	#DIV/0!
MSMEG_0475	0.258237351
MSMEG_0476	#DIV/0!
MSMEG_0478	0.243452129
MSMEG_0477	#DIV/0!
MSMEG_0479	#DIV/0!
MSMEG_0480	0.535942452
MSMEG_0481	#DIV/0!
